Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Lat,Long_,Active,Combined_Key
 ,Nepal,2020-01-25,1,0,0,-19.015438,29.154857,1," , Nepal"
 ,Malaysia,2020-01-25,3,0,0,-19.015438,29.154857,3," , Malaysia"
Hubei,China,2020-01-26,1058,52,42,-19.015438,29.154857,964,"Hubei, China"
Guangdong,China,2020-01-26,111,0,2,-19.015438,29.154857,109,"Guangdong, China"
Zhejiang,China,2020-01-26,104,0,1,-19.015438,29.154857,103,"Zhejiang, China"
Henan,China,2020-01-26,83,1,0,-19.015438,29.154857,82,"Henan, China"
Chongqing,China,2020-01-26,75,0,0,-19.015438,29.154857,75,"Chongqing, China"
Hunan,China,2020-01-26,69,0,0,-19.015438,29.154857,69,"Hunan, China"
Beijing,China,2020-01-26,68,0,2,-19.015438,29.154857,66,"Beijing, China"
Anhui,China,2020-01-26,60,0,0,-19.015438,29.154857,60,"Anhui, China"
Shandong,China,2020-01-26,46,0,0,-19.015438,29.154857,46,"Shandong, China"
Sichuan,China,2020-01-26,44,0,0,-19.015438,29.154857,44,"Sichuan, China"
Shanghai,China,2020-01-26,40,1,1,-19.015438,29.154857,38,"Shanghai, China"
Guangxi,China,2020-01-26,36,0,0,-19.015438,29.154857,36,"Guangxi, China"
Jiangxi,China,2020-01-26,36,0,0,-19.015438,29.154857,36,"Jiangxi, China"
Fujian,China,2020-01-26,35,0,0,-19.015438,29.154857,35,"Fujian, China"
Jiangsu,China,2020-01-26,33,0,1,-19.015438,29.154857,32,"Jiangsu, China"
Hainan,China,2020-01-26,22,0,0,-19.015438,29.154857,22,"Hainan, China"
Shaanxi,China,2020-01-26,22,0,0,-19.015438,29.154857,22,"Shaanxi, China"
Liaoning,China,2020-01-26,21,0,0,-19.015438,29.154857,21,"Liaoning, China"
Yunnan,China,2020-01-26,16,0,0,-19.015438,29.154857,16,"Yunnan, China"
Heilongjiang,China,2020-01-26,15,1,0,-19.015438,29.154857,14,"Heilongjiang, China"
Tianjin,China,2020-01-26,14,0,0,-19.015438,29.154857,14,"Tianjin, China"
Hebei,China,2020-01-26,13,1,0,-19.015438,29.154857,12,"Hebei, China"
Shanxi,China,2020-01-26,9,0,0,-19.015438,29.154857,9,"Shanxi, China"
Hong Kong,Hong Kong,2020-01-26,8,0,0,-19.015438,29.154857,8,"Hong Kong, Hong Kong"
Inner Mongolia,China,2020-01-26,7,0,0,-19.015438,29.154857,7,"Inner Mongolia, China"
Gansu,China,2020-01-26,7,0,0,-19.015438,29.154857,7,"Gansu, China"
Guizhou,China,2020-01-26,5,0,0,-19.015438,29.154857,5,"Guizhou, China"
Macau,Macau,2020-01-26,5,0,0,-19.015438,29.154857,5,"Macau, Macau"
Ningxia,China,2020-01-26,4,0,0,-19.015438,29.154857,4,"Ningxia, China"
Jilin,China,2020-01-26,4,0,0,-19.015438,29.154857,4,"Jilin, China"
Taiwan,Taiwan,2020-01-26,4,0,0,-19.015438,29.154857,4,"Taiwan, Taiwan"
Xinjiang,China,2020-01-26,4,0,0,-19.015438,29.154857,4,"Xinjiang, China"
Qinghai,China,2020-01-26,1,0,0,-19.015438,29.154857,1,"Qinghai, China"
Washington,US,2020-01-26,1,0,0,-19.015438,29.154857,1,"Washington, US"
Illinois,US,2020-01-26,1,0,0,-19.015438,29.154857,1,"Illinois, US"
California,US,2020-01-26,2,0,0,-19.015438,29.154857,2,"California, US"
Arizona,US,2020-01-26,1,0,0,-19.015438,29.154857,1,"Arizona, US"
 ,Japan,2020-01-26,4,0,1,-19.015438,29.154857,3," , Japan"
 ,Thailand,2020-01-26,8,0,2,-19.015438,29.154857,6," , Thailand"
 ,South Korea,2020-01-26,3,0,0,-19.015438,29.154857,3," , South Korea"
 ,Singapore,2020-01-26,4,0,0,-19.015438,29.154857,4," , Singapore"
 ,Vietnam,2020-01-26,2,0,0,-19.015438,29.154857,2," , Vietnam"
 ,France,2020-01-26,3,0,0,-19.015438,29.154857,3," , France"
 ,Australia,2020-01-26,4,0,0,-19.015438,29.154857,4," , Australia"
 ,Nepal,2020-01-26,1,0,0,-19.015438,29.154857,1," , Nepal"
 ,Malaysia,2020-01-26,4,0,0,-19.015438,29.154857,4," , Malaysia"
Ontario,Canada,2020-01-26,1,0,0,-19.015438,29.154857,1,"Ontario, Canada"
Hubei,China,2020-01-27,1423,76,45,-19.015438,29.154857,1302,"Hubei, China"
Guangdong,China,2020-01-27,151,0,4,-19.015438,29.154857,147,"Guangdong, China"
Zhejiang,China,2020-01-27,128,0,1,-19.015438,29.154857,127,"Zhejiang, China"
Henan,China,2020-01-27,128,1,0,-19.015438,29.154857,127,"Henan, China"
Chongqing,China,2020-01-27,110,0,0,-19.015438,29.154857,110,"Chongqing, China"
Hunan,China,2020-01-27,100,0,0,-19.015438,29.154857,100,"Hunan, China"
Beijing,China,2020-01-27,80,1,2,-19.015438,29.154857,77,"Beijing, China"
Shandong,China,2020-01-27,75,0,0,-19.015438,29.154857,75,"Shandong, China"
Jiangxi,China,2020-01-27,72,0,2,-19.015438,29.154857,70,"Jiangxi, China"
Anhui,China,2020-01-27,70,0,0,-19.015438,29.154857,70,"Anhui, China"
Sichuan,China,2020-01-27,69,0,0,-19.015438,29.154857,69,"Sichuan, China"
Fujian,China,2020-01-27,59,0,0,-19.015438,29.154857,59,"Fujian, China"
Shanghai,China,2020-01-27,53,1,3,-19.015438,29.154857,49,"Shanghai, China"
Jiangsu,China,2020-01-27,47,0,1,-19.015438,29.154857,46,"Jiangsu, China"
Guangxi,China,2020-01-27,46,0,0,-19.015438,29.154857,46,"Guangxi, China"
Shaanxi,China,2020-01-27,35,0,0,-19.015438,29.154857,35,"Shaanxi, China"
Hainan,China,2020-01-27,33,1,0,-19.015438,29.154857,32,"Hainan, China"
Liaoning,China,2020-01-27,27,0,0,-19.015438,29.154857,27,"Liaoning, China"
Yunnan,China,2020-01-27,26,0,0,-19.015438,29.154857,26,"Yunnan, China"
Tianjin,China,2020-01-27,23,0,0,-19.015438,29.154857,23,"Tianjin, China"
Heilongjiang,China,2020-01-27,21,1,0,-19.015438,29.154857,20,"Heilongjiang, China"
Hebei,China,2020-01-27,18,1,0,-19.015438,29.154857,17,"Hebei, China"
Gansu,China,2020-01-27,14,0,0,-19.015438,29.154857,14,"Gansu, China"
Shanxi,China,2020-01-27,13,0,0,-19.015438,29.154857,13,"Shanxi, China"
Inner Mongolia,China,2020-01-27,11,0,0,-19.015438,29.154857,11,"Inner Mongolia, China"
Hong Kong,Hong Kong,2020-01-27,8,0,0,-19.015438,29.154857,8,"Hong Kong, Hong Kong"
Guizhou,China,2020-01-27,7,0,0,-19.015438,29.154857,7,"Guizhou, China"
Ningxia,China,2020-01-27,7,0,0,-19.015438,29.154857,7,"Ningxia, China"
Jilin,China,2020-01-27,6,0,0,-19.015438,29.154857,6,"Jilin, China"
Macau,Macau,2020-01-27,6,0,0,-19.015438,29.154857,6,"Macau, Macau"
